,Name,smile,BA_pct,label1,label2,label3a,label3b
51,lofexidine,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,90.0,high,very high,very high,very high
52,chloramphenicol,O=[N+]([O-])c1ccc(C(O)C(CO)N=C(O)C(Cl)Cl)cc1,80.0,high,high,high,high
53,idazoxan,c1ccc2c(c1)OCC(C1=NCCN1)O2,34.0,moderate,low,low,low
54,oxitriptan,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,70.0,high,high,high,high
55,levamisole,c1ccc(C2CN3CCSC3=N2)cc1,65.0,moderate,high,high,high
56,brivudine,O=c1nc(O)c(C=CBr)cn1C1CC(O)C(CO)O1,30.0,low,low,low,low
57,sorivudine,O=c1nc(O)c(C=CBr)cn1C1OC(CO)C(O)C1O,70.0,high,high,high,high
58,polythiazide,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,80.0,high,high,high,high
59,sulfisoxazole,Cc1nsc(NS(=O)(=O)c2ccc(N)cc2)c1C,93.0,high,very high,very high,very high
60,idrocilamide,OCCN=C(O)C=Cc1ccccc1,30.0,low,low,low,low
61,toloxatone,Cc1cccc(N2CC(CO)OC2=O)c1,56.0,moderate,high,moderate,moderate
62,lorcaserin,CC1CNCCc2ccc(Cl)cc21,90.0,high,very high,very high,very high
63,ethylphenylmalonamide,CCC(C(=N)O)(C(=N)O)c1ccccc1,91.0,high,very high,very high,very high
64,felbamate,N=C(O)OCC(COC(=N)O)c1ccccc1,90.0,high,very high,very high,very high
65,pyrantel,CN1CCCN=C1C=Cc1cccs1,50.0,moderate,low,moderate,moderate
66,doxofylline,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,63.0,moderate,high,high,high
67,forodesine,OCC1NC(c2c[nH]c3c(O)ncnc23)C(O)C1O,40.0,moderate,low,moderate,moderate
68,lobucavir,N=c1nc(O)c2ncn(C3CC(CO)C3CO)c2[nH]1,30.0,low,low,low,low
69,nelarabine,COc1nc(=N)[nH]c2c1ncn2C1OC(CO)C(O)C1O,11.0,low,very low,very low,very low
70,methocarbamol,COc1ccccc1OCC(O)COC(=N)O,32.0,low,low,low,low
71,proguanil,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,60.0,moderate,high,moderate,moderate
72,tocainide,Cc1cccc(C)c1N=C(O)C(C)N,89.0,high,very high,very high,very high
73,pilocarpine,CCC1C(=O)OCC1Cc1cncn1C,100.0,high,very high,very high,very high
74,pentostatin,OCC1OC(n2cnc3c2NC=NCC3O)CC1O,0.0,low,very low,very low,very low
75,bretylium,CC[N+](C)(C)Cc1ccccc1Br,23.0,low,low,low,low
76,mexiletine,Cc1cccc(C)c1OCC(C)N,87.0,high,very high,very high,very high
77,isoproterenol,CC(C)NCC(O)c1ccc(O)c(O)c1,0.0,low,very low,very low,very low
78,orciprenaline,CC(C)NCC(O)c1cc(O)cc(O)c1,40.0,moderate,low,moderate,moderate
79,pentobarbital,CCCC(C)C1(CC)C(O)=NC(=O)N=C1O,80.0,high,high,high,high
80,ranitidine,CN=C(NCCSCc1ccc(CNC)o1)N[N+](=O)[O-],52.0,moderate,high,moderate,moderate
81,brivaracetam,CCCC1CC(=O)N(C(CC)C(=N)O)C1,100.0,high,very high,very high,very high
82,mecamylamine,CNC1(C)C2CCC(C2)C1(C)C,99.0,high,very high,very high,very high
83,diatrizoate,CC(O)=Nc1c(I)c(N=C(C)O)c(I)c(C(=O)O)c1I,50.0,moderate,low,moderate,moderate
84,naftazone,N=C(O)N=Nc1ccc2ccccc2c1O,80.0,high,high,high,high
85,nilutamide,CC1(C)N=C(O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,100.0,high,very high,very high,very high
86,cinoxacin,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,72.5,high,high,high,high
87,furosemide,NS(=O)(=O)c1cc(Cl)cc(NCc2ccco2)c1C(=O)O,71.0,high,high,high,high
88,peldesine,N=c1nc(O)c2[nH]cc(Cc3cccnc3)c2[nH]1,33.0,low,low,low,low
89,dapsone,Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,93.0,high,very high,very high,very high
90,enoximone,CSc1ccc(C(=O)c2[nH]c(O)nc2C)cc1,54.0,moderate,high,moderate,moderate
91,phenobarbital,CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,72.0,high,high,high,high
92,nalidixic,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,96.0,high,very high,very high,very high
93,benznidazole,O=[N+]([O-])c1nccn1CC(O)=NCc1ccccc1,100.0,high,very high,very high,very high
94,alinidine,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,100.0,high,very high,very high,very high
95,pyrimethamine,CCc1nc(=N)[nH]c(N)c1-c1ccc(Cl)cc1,100.0,high,very high,very high,very high
96,rasagiline,C#CCNC1CCc2ccccc21,36.0,moderate,low,low,low
97,triamterene,N=C1N=C2NC(N)=C(c3ccccc3)N=C2C(N)N1,51.0,moderate,high,moderate,moderate
98,aniracetam,COc1ccc(C(=O)N2CCCC2=O)cc1,0.2,low,very low,very low,very low
99,phenylpiracetam,N=C(O)CN1CC(c2ccccc2)CC1=O,100.0,high,very high,very high,very high
100,sulfadoxine,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,80.0,high,high,high,high
101,sulfadimethoxine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,59.099998,moderate,high,moderate,moderate
102,clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,95.0,high,very high,very high,very high
103,bicifadine,Cc1ccc(C23CNCC2C3)cc1,89.0,high,very high,very high,very high
104,albendazole,CCCSc1ccc2nc(N=C(O)OC)[nH]c2c1,5.0,low,very low,very low,very low
105,entecavir,C=C1C(CO)C(O)CC1n1cnc2c(O)nc(=N)[nH]c21,100.0,high,very high,very high,very high
106,faropenem,CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12,20.0,low,very low,low,low
107,fenfluramine,CCNC(C)Cc1cccc(C(F)(F)F)c1,89.0,high,very high,very high,very high
108,eltoprazine,c1cc2c(c(N3CCNCC3)c1)OCCO2,100.0,high,very high,very high,very high
109,hexobarbital,CN1C(=O)N=C(O)C(C)(C2=CCCCC2)C1=O,95.0,high,very high,very high,very high
110,cyclopenthiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(CN1CCCC1)NS2(=O)=O,100.0,high,very high,very high,very high
111,imipenem,CC(O)C1C(=O)N2C(C(=O)O)=C(SCCNC=N)CC12,1.0,low,very low,very low,very low
112,thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1,5.0,low,very low,very low,very low
113,clenbuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,99.0,high,very high,very high,very high
114,tulobuterol,CC(C)(C)NCC(O)c1ccccc1Cl,48.0,moderate,low,moderate,moderate
115,secobarbital,C=CCC1(C(C)CCC)C(O)=NC(=O)N=C1O,90.0,high,very high,very high,very high
116,tolbutamide,CCCCN=C(O)NS(=O)(=O)c1ccc(C)cc1,85.0,high,very high,very high,very high
117,midodrine,COc1ccc(OC)c(C(O)CN=C(O)CN)c1,93.0,high,very high,very high,very high
118,propofol,CC(C)c1cccc(C(C)C)c1O,5.0,low,very low,very low,very low
119,sucralose,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,50.0,moderate,low,moderate,moderate
120,neostigmine,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,2.0,low,very low,very low,very low
121,bamethan,CCCC[NH2+]CC(O)c1ccc(O)cc1,75.0,high,high,high,high
122,terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,14.0,low,very low,very low,very low
123,prenalterol,CC(C)NCC(O)COc1ccc(O)cc1,50.0,moderate,low,moderate,moderate
124,pirbuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,60.0,moderate,high,moderate,moderate
125,zanamivir,CC(O)=NC1C(NC(=N)N)C=C(C(=O)O)OC1C(O)C(O)CO,2.0,low,very low,very low,very low
126,nizatidine,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,70.0,high,high,high,high
127,cadralazine,CCOC(O)=NNc1ccc(N(CC)CC(C)O)nn1,80.0,high,high,high,high
128,topiramate,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,70.0,high,high,high,high
129,lactulose,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,3.0,low,very low,very low,very low
130,methoxsalen,COc1c2occc2cc2ccc(=O)oc12,0.0,low,very low,very low,very low
131,teriflunomide,CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,50.0,moderate,low,moderate,moderate
132,nitazoxanide,CC(=O)Oc1ccccc1C(O)=Nc1ncc([N+](=O)[O-])s1,70.0,high,high,high,high
133,lornoxicam,CN1C(C(O)=Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,100.0,high,very high,very high,very high
134,thalidomide,O=C1N=C(O)CCC1N1C(=O)c2ccccc2C1=O,80.0,high,high,high,high
135,tenoxicam,CN1C(C(O)=Nc2ccccn2)=Cc2sccc2S1(=O)=O,100.0,high,very high,very high,very high
136,sudoxicam,CN1C(C(O)=Nc2nccs2)=C(O)c2ccccc2S1(=O)=O,80.0,high,high,high,high
137,oxolinic,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,50.0,moderate,low,moderate,moderate
138,fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,90.0,high,very high,very high,very high
139,sultosilic,Cc1ccc(S(=O)(=O)Oc2ccc(O)c(S(=O)(=O)O)c2)cc1,60.0,moderate,high,moderate,moderate
140,varenicline,c1cnc2cc3c(cc2n1)C1CNCC3C1,87.0,high,very high,very high,very high
141,lenalidomide,Nc1cccc2c1CN(C1CCC(O)=NC1=O)C2=O,70.0,high,high,high,high
142,cefacetrile,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(N=C(O)CC#N)C2SC1,0.0,low,very low,very low,very low
143,ceftizoxime,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(=N)[nH]1,0.0,low,very low,very low,very low
144,ciprofibrate,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,99.0,high,very high,very high,very high
145,tacrine,N=c1c2c([nH]c3ccccc13)CCCC2,17.0,low,very low,very low,very low
146,methylphenobarbital,CCC1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,73.0,high,high,high,high
147,genaconazole,CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,99.0,high,very high,very high,very high
148,glutethimide,CCC1(c2ccccc2)CCC(O)=NC1=O,0.0,low,very low,very low,very low
149,cladribine,COC1CC(n2cnc3c(N)cc(Cl)cc32)OC1CO,43.0,moderate,low,moderate,moderate
150,ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,20.0,low,very low,low,low
151,aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(O)=NC1=O,95.0,high,very high,very high,very high
152,mofebutazone,CCCCC1C(=O)N(c2ccccc2)N=C1O,90.0,high,very high,very high,very high
153,moclobemide,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,75.0,high,high,high,high
154,selegiline,C#CCN(C)C(C)Cc1ccccc1,4.4000001,low,very low,very low,very low
155,aztreonam,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(=N)[nH]2)C(=O)N1S(=O)(=O)O,1.0,low,very low,very low,very low
156,ambroxol,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,77.0,high,high,high,high
157,melphalan,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,71.0,high,high,high,high
158,mabuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,91.0,high,very high,very high,very high
159,bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.0,low,very low,very low,very low
160,lacosamide,COCC(N=C(C)O)C(O)=NCc1ccccc1,100.0,high,very high,very high,very high
161,pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,25.0,low,low,low,low
162,ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,85.0,high,very high,very high,very high
163,mefruside,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,70.0,high,high,high,high
164,pinacidil,CC(NC(=NC#N)N=c1cc[nH]cc1)C(C)(C)C,57.0,moderate,high,moderate,moderate
165,viloxazine,CCOc1ccccc1OCC1CNCCO1,85.0,high,very high,very high,very high
166,r-albuterol,CC(C)(C)NCC(O)c1ccc(O)c(C(=O)O)c1,43.0,moderate,low,moderate,moderate
167,probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,99.0,high,very high,very high,very high
168,prilocaine,CCCNC(C)C(O)=Nc1ccccc1C,20.0,low,very low,low,low
169,practolol,CC(O)=Nc1ccc(C(O)CNC(C)C)cc1,95.0,high,very high,very high,very high
170,levodropropizine,OCC(O)CN1CCN(c2ccccc2)CC1,75.0,high,high,high,high
171,etozolin,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,90.0,high,very high,very high,very high
172,valaciclovir,CC(C)C(N)C(=O)OCCOCn1cnc2c(O)nc(=N)[nH]c21,0.0,low,very low,very low,very low
173,febuprol,CCCCOCC(O)COc1ccccc1,90.0,high,very high,very high,very high
174,procainamide,CCN(CC)CCNC(=O)c1ccc(N)cc1,83.0,high,very high,very high,very high
175,salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,44.0,moderate,low,moderate,moderate
176,sotalol,CC(C)NCC(O)COc1cccc(NS(C)(=O)=O)c1,95.0,high,very high,very high,very high
177,diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,85.0,high,very high,very high,very high
178,bromazepam,OC1=Nc2ccc(Br)cc2C(c2ccccn2)=NC1,84.0,high,very high,very high,very high
179,fenclofenac,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,100.0,high,very high,very high,very high
180,mitotane,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,40.0,moderate,low,moderate,moderate
181,nitisinone,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],90.0,high,very high,very high,very high
182,olsalazine,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,2.0,low,very low,very low,very low
183,diclofenac,O=C(O)Cc1ccccc1Nc1ccc(Cl)cc1Cl,54.0,moderate,high,moderate,moderate
184,chlorthalidone,NS(=O)(=O)c1cc(C2(O)N=C(O)c3ccccc32)ccc1Cl,64.0,moderate,high,high,high
185,tolcapone,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,62.0,moderate,high,moderate,high
186,fenquizone,NS(=O)(=O)c1cc2c(cc1Cl)NC(c1ccccc1)N=C2O,53.0,moderate,high,moderate,moderate
187,nolatrexed,Cc1ccc2[nH]c(=N)nc(O)c2c1Sc1ccncc1,95.0,high,very high,very high,very high
188,levosimendan,CC1CC(O)=NN=C1c1ccc(NN=C(C#N)C#N)cc1,85.0,high,very high,very high,very high
189,suprofen,CC(C(=O)O)c1cccc(C(=O)c2cccs2)c1,90.0,high,very high,very high,very high
190,meloxicam,Cc1cnc(N=C(O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,97.0,high,very high,very high,very high
191,isoxicam,Cc1cc(=NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)[nH]o1,97.0,high,very high,very high,very high
192,cefdinir,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3c[nH]c(=N)s3)C2SC1,18.5,low,very low,very low,low
193,ticlopidine,Clc1ccccc1CN1CCc2sccc2C1,80.0,high,high,high,high
194,obidoxime,O=[NH+]C=C1C=CN(COCN2C=CC(=C[NH+]=O)C=C2)C=C1,0.0,low,very low,very low,very low
195,cefazolin,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(N=C(O)Cn4cnnn4)C3SC2)s1,75.0,high,high,high,high
196,entacapone,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,42.0,moderate,low,moderate,moderate
197,endralazine,NN=c1cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,75.0,high,high,high,high
198,cefetamet,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1csc(=N)[nH]1,47.0,moderate,low,moderate,moderate
199,atipamezole,CCC1(c2cnc[nH]2)Cc2ccccc2C1,2.0,low,very low,very low,very low
200,etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,0.0,low,very low,very low,very low
201,imiquimod,CC(C)Cn1cnc2c(=N)[nH]c3ccccc3c21,47.0,moderate,low,moderate,moderate
202,fasudil,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,80.0,high,high,high,high
203,pipemidic_acid,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,93.0,high,very high,very high,very high
204,trimethoprim,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,76.0,high,high,high,high
205,abacavir,N=c1nc2c(ncn2C2C=CC(CO)C2)c(NC2CC2)[nH]1,83.0,high,very high,very high,very high
206,stiripentol,CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2,50.0,moderate,low,moderate,moderate
207,chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,82.0,high,very high,very high,high
208,famciclovir,CC(=O)OCC(CCn1cnc2c[nH]c(=N)nc21)COC(C)=O,77.0,high,high,high,high
209,bromhexine,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,77.5,high,high,high,high
210,pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,88.0,high,very high,very high,very high
211,vorinostat,ON=C(O)CCCCCCC(O)=Nc1ccccc1,43.0,moderate,low,moderate,moderate
212,auranofin,CC(=O)OCC1OC(S)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,20.0,low,very low,low,low
213,sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,14.0,low,very low,very low,very low
214,preclamol,CCCN1CCCC(c2cccc(O)c2)C1,4.0,low,very low,very low,very low
215,bromopride,CCN(CC)CCN=C(O)c1cc(Br)c(N)cc1OC,67.5,high,high,high,high
216,metoclopramide,CCN(CC)CCN=C(O)c1cc(Cl)c(N)cc1OC,76.0,high,high,high,high
217,bupranolol,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,10.0,low,very low,very low,very low
218,lidocaine,CCN(CC)CC(O)=Nc1c(C)cccc1C,35.0,moderate,low,low,low
219,atenolol,CC(C)NCC(O)COc1ccc(CC(=N)O)cc1,97.0,high,very high,very high,very high
220,trimetazidine,COc1ccc(CN2CCNCC2)c(OC)c1OC,89.0,high,very high,very high,very high
221,bucolome,CCCCC1C(=O)N(C2CCCCC2)C(=O)N=C1O,100.0,high,very high,very high,very high
222,sematilide,CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,50.0,moderate,low,moderate,moderate
223,xanomeline,CCCCCCOc1nsnc1C1=CCCN(C)C1,1.0,low,very low,very low,very low
224,tapentadol,CCC(c1cccc(O)c1)C(C)CN(C)C,32.0,low,low,low,low
225,oseltamivir,CCC(CC)OC1C=C(C(=O)O)CC(N)C1N=C(C)O,79.0,high,high,high,high
226,amiprilose,CN(C)CCCOC1C(C(O)CO)OC2OC(C)(C)OC21,63.0,moderate,high,high,high
227,succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0.0,low,very low,very low,very low
228,efavirenz,OC1=Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,42.5,moderate,low,moderate,moderate
229,tenidap,N=C(O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,89.0,high,very high,very high,very high
230,brotizolam,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,70.0,high,high,high,high
231,clonazepam,O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1Cl)=NCC(O)=N2,98.0,high,very high,very high,very high
232,phenindione,O=C1c2ccccc2C(=O)C1c1ccccc1,97.0,high,very high,very high,very high
233,quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1.0,low,very low,very low,very low
234,nordazepam,OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1,50.0,moderate,low,moderate,moderate
235,thyroxine,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,65.0,moderate,high,high,high
236,nitrazepam,O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1)=NCC(O)=N2,78.0,high,high,high,high
237,carprofen,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,90.0,high,very high,very high,very high
238,carbazepine-10,N=C(O)N1c2ccccc2C2OC2c2ccccc21,90.0,high,very high,very high,very high
239,phenytoin,OC1=NN=C(O)C1(c1ccccc1)c1ccccc1,90.0,high,very high,very high,very high
240,tucaresol,O=Cc1c(O)cccc1OCc1ccc(C(=O)O)cc1,50.0,moderate,low,moderate,moderate
241,lumiracoxib,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,74.0,high,high,high,high
242,flurbiprofen,CC(C(=O)O)c1ccc(-c2cccc(F)c2)cc1,92.0,high,very high,very high,very high
243,piroxicam,CN1C(C(O)=Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,99.0,high,very high,very high,very high
244,ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,99.0,high,very high,very high,very high
245,cefaclor,NC(C(O)=NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,90.0,high,very high,very high,very high
246,benzthiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=CN(CSCc1ccccc1)S2(=O)=O,50.0,moderate,low,moderate,moderate
247,zomepirac,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,100.0,high,very high,very high,very high
248,flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,16.0,low,very low,very low,very low
249,eslicarbazepine,N=C(O)N1c2ccccc2CC(O)c2ccccc21,90.0,high,very high,very high,very high
